municipality,publication_date,series,distribution-place,address,telephone-number,distribution-time,longitude-latitude,longitude-latitude2,longitude-latitude3,longitude-latitude4,longitude-latitude5
日本下水道事業団,第17弾,2022/8/6,日本下水道事業団研修センター管理課,埼玉県戸田市下笹目5141,電話：048-421-2691,【平日】10：00～12：00、13：00～16：00【土日祝日】13：00～15：00ただし、年末年始及びお盆期間は配布を行いません。配布については、業務都合により急遽中止等の措置を講じる場合がありますのでお越しになる前に、必ず、JS公式ホームページの最新情報をご確認いただきますようお願いいたします,139.65891 : 35.82725,,,,
UR都市機構,第18弾,2023/1/28,UR千里営業センター,大阪府豊中市新千里東町1丁目4番2号（千里ライフサイエンスセンタービル19階）,電話：06-6871-0612,9：30～18：00ただし、水曜日、年末年始（12/29～1/3）はお休みです,135.496 : 34.81205,,,,
札幌市（A001）,第01弾,2016/4/1,札幌市下水道科学館,北海道札幌市北区麻生町8,電話：011-717-0046,9:30～17:00（入館は16:30まで）ただし、月曜日（祝休日の場合は翌日）、年末年始はお休みです。その他休館日は左記HPよりご確認ください,141.34256 : 43.11587,,,,
札幌市（B001）,第09弾,2018/12/14,札幌市環境プラザ,北海道札幌市北区北8条西3丁目札幌エルプラザ2階,電話：011-728-1667,9：00～18：00ただし、年末年始（12/29～1/3）はお休みですその他、施設の点検等で休館する場合があります,141.35028 : 43.07088,,,,
札幌市(C001),第20弾,2023/7/28,【5月～10月】大通公園観光案内所【11月～4月】大通公園インフォメーションセンター＆オフィシャルショップ,【5月～10月】北海道札幌市中央区大通西3丁目【11月～4月】北海道札幌市中央区大通西7丁目,【5月～10月】電話:011-211-2376【11月～4月】電話:011-251-0438,【5月～10月】9:30～17:30【11月～4月】10:00～12:00、13:00～16:00ただし、年末年始（12/29～1/3）はお休みです,141.35275 : 43.06086,141.34663 : 43.05974,,,
函館市,第3弾,2016/12/1,函館市地域交流まちづくりセンター,北海道函館市末広町4-19,電話：0138-22-9700,9:00～21:00ただし、年末年始（12/31～1/3）はお休みですまた、器材点検のために月1回程度休館する場合があります,140.71642 : 41.76365,,,,
小樽市,第6弾,2017/12/9,小樽市水道局本庁舎,北海道小樽市花園2-11-15,（問い合わせ先）小樽市水道局 総務課電話：0134-32-1171,9:00～17:00（年中無休）,140.99471 : 43.19212,,,,
旭川市(A001),第04弾,2017/4/3,【5～10月】旭川市下水処理センターバナナ館【11～4月】管理本館事務室,北海道旭川市神居町忠和287（旭川市下水処理センター2階）,電話：0166-62-3554,【5～10月】9:00～16:00にバナナ館を見学された方に配布しますただし、月曜日（月曜日が祝日・振替休日の場合はその翌日）、年末年始（12/30～1/4）はお休みです【11～4月】8:45～17:15ただし、土日、祝日、年末年始（12/30～1/4）はお休みですそれぞれ配布窓口が異なるのでご注意ください,142.29689 : 43.78328,,,,
旭川市(B001),第23弾,2024/7/26,旭川観光物産情報センター,北海道旭川市宮下通8丁目3番1号（JR旭川駅東コンコース）,電話:0166-26-6665（問合せ先）旭川市水道局上下水道部総務課電話:0166-24-3160,【6月～9月】8：30～19：00【10月～5月】9：00～19：00ただし、年末年始（12月31日～1月2日）はお休みです,142.35805 : 43.76253,,,,
室蘭市,第8弾,2018/8/11,室蘭観光協会,北海道室蘭市海岸町1丁目5番1号,電話：0143-23-0102,【4～10月】8:00～19:00【11～3月】8:00～17:00ただし、1/1のみお休みです,140.97046 : 42.32244,,,,
